tract_number,total_population,over_65,median_income,housing_density,percent_vacant_units,Percent_white,Percent_Black,Percent_Native,Percent_Asian,Percent_Hawaiian_and_Pacific_Islander,Percent_Other_Race,percent_two_races,percent_hispanic,percent_not_hispanic
6067007403,4998,13,72875,3.23,4.98,75,5.5,0.5,1.3,0,6.6,11.1,31.8,68.2
6067007413,6652,10.9,52568,3.12,5.4,64.3,10,0,12,0,3.1,10.5,24.4,75.6
6067007414,4757,9.2,66579,3.21,0,55.9,10.2,0.5,8.6,0.1,3.1,21.7,36.6,63.4
6067007415,3169,13.9,71528,2.54,8.35,69.9,15.4,5.2,3.8,0,0.7,5.1,13.3,86.7
6067007416,3867,17.3,54794,2.55,5.14,67.2,11.7,0,2.9,1.3,11.1,5.8,22.5,77.5
6067007417,3303,11,83750,3.21,1.95,61.7,4.3,1.8,16.2,0,5.9,10.1,16.2,83.8
6067007422,2745,7.8,64583,2.98,2.06,67.7,3.8,1.2,2.8,0,10.1,14.4,37.2,62.8
6067007423,6768,7.8,34439,2.87,1.95,43.2,23.8,0.2,17.8,0,7.4,7.5,20.3,79.7
6067007424,3939,6,43438,2.72,1.66,50,8,0.8,15.2,0.7,9.6,15.8,27,73
6067007426,2438,11.6,75724,3.01,4.57,63.5,15.4,0,8,0,2.8,10.3,14.2,85.8
6067007427,8206,13.2,69083,3.23,1.61,69.8,10.7,0.3,5.8,0,2.2,11.3,28.4,71.6
6067007428,3430,10.8,71227,2.82,1.81,74.1,4.6,0,6.9,0,7.3,7.1,17.4,82.6
6067007429,5921,7.1,46841,2.97,1.6,48.7,18.9,1,9.1,0,9,13.3,19.4,80.6
6067007430,8755,7.3,87057,3.79,0,74,9.1,0.4,10.8,0,1.2,4.5,11.6,88.4
6067007431,3108,16.8,80500,2.86,0.65,65.9,6,0.6,13.9,0,1.4,12.2,17.4,82.6
6067007432,5075,5.6,93935,2.99,3.83,70.1,9,0.9,8.1,0.4,1.4,10.2,19.2,80.8
6067007434,6338,7.7,68498,3.58,6.17,55.3,12.2,0,8.3,0.7,10.4,13.1,39.3,60.7
6067007435,2802,13.1,31054,3.27,3.97,73.2,3.8,0,11.7,0,1.5,9.9,12.6,87.4
6067007436,2308,14.2,94063,3.09,0,43.2,9,0.8,29.4,0,0.4,17.2,14.3,85.7
6067007437,6352,9.1,116436,3.33,0,70.2,5.9,0.6,14.1,2.1,1.3,5.8,6.3,93.7
6067007438,3231,10.7,59609,2.56,3.1,60.5,4.5,0,21.2,0,5.8,7.9,13.3,86.7
6067007439,4998,7.8,75089,2.97,0,69.2,12.1,0.1,6.8,0,1.1,10.7,22.4,77.6
6067007501,7581,12.9,55051,2.62,1.79,72.9,10.6,0,4.7,0.3,3.3,8.2,21.6,78.4
6067007503,5509,7.6,68500,2.4,7.72,60.3,5.7,1,15.1,0,9.9,8,24.8,75.2
6067007504,1921,21.2,56434,2.37,5.44,73.5,6.7,0.4,4,0,5.9,9.6,23,77
6067007602,4909,18.7,80050,2.22,7.68,74.7,6.3,0.2,7.4,0,4.1,7.4,12.3,87.7
6067007603,2951,22.3,56788,2.06,14.79,74.4,6.9,0.6,4.9,0,2.8,10.4,11.4,88.6
6067007604,4020,18.3,68061,2.37,9.5,59,6.6,0.3,19.2,0,4.1,10.8,19.8,80.2
6067007701,7194,13.1,55000,2.36,7.09,59.3,9.8,0.6,11.5,4.6,2.2,12,18.3,81.7
6067007702,4108,33,114655,1.98,5.07,76.1,1.8,0.5,5.9,0.2,2.7,12.9,17.1,82.9
6067007801,5692,18.8,74922,2.19,8.83,78,2.9,0,9.1,0.1,1.8,8.1,16.7,83.3
6067007802,5010,24.5,78576,2.38,2.8,82.5,1.8,0,6.9,0.6,3.2,5,13.6,86.4
6067007903,4703,24.8,84063,2.38,2.88,88.5,0,1.5,3,0,1.6,5.5,10.3,89.7
6067007904,5993,14.7,101932,2.98,0.4,81.4,1,0.5,3.3,1.1,3.7,9,16.9,83.1
6067007905,4469,15.4,107391,2.47,8.58,74.8,0.8,0,14,0,0.6,9.8,15.2,84.8
6067007906,3666,20.2,75192,2.51,0,77.3,2.8,0.7,4.2,0,2.9,12.1,17.6,82.4
6067008005,4559,23.9,117861,2.47,1.36,87,0.7,0.2,3.8,0,1.1,7.1,12.5,87.5
6067008006,4863,28.3,114981,2.12,6.42,82.1,3.2,0,7.7,0,0.5,6.5,3.8,96.2
6067008007,3354,24.2,68558,2.35,3.43,68.8,2.1,0,7.7,0.7,10.3,10.3,23.3,76.7
6067008008,5030,21.4,101450,2.53,4.37,74.7,2.3,0.3,3.9,0,2,16.8,16.2,83.8
6067008009,4305,24.3,86216,2.06,4.46,78.3,1.7,0.9,6.9,0,2.5,9.6,19,81
6067008010,6028,22.2,115705,2.51,6.93,85.1,0.4,1.3,3.7,0,0.4,9.1,13.5,86.5
6067008111,5931,14.4,80288,2.5,1.48,85.9,0.8,0,1.4,0,6.2,5.7,18.1,81.9
6067008113,3576,14.9,63242,2.35,4.93,75.7,3.7,1,3.6,0,8.8,7.2,17.3,82.7
6067008117,2577,12.8,81250,2.99,0,80.1,2,0,1.5,0,7.2,9.2,21,79
6067008119,6915,9.8,75347,3.13,0,63.7,6,0,1.8,0,16.3,12.1,34.3,65.7
6067008120,5228,17.4,64565,2.48,2.28,73.1,3.5,0,4.2,0,10,9.1,17.7,82.3
6067008122,3479,17.7,84934,2.49,5.66,69.9,4.2,0,5.4,0,7.3,13.1,14.6,85.4
6067008124,4794,19.8,84023,2.89,0.48,93.5,0.3,0,2.3,0,0.5,3.4,8.9,91.1
6067008125,4922,22.7,94356,2.54,1.14,83.6,1.9,1.3,4.7,0,2.1,6.4,10.9,89.1
6067008127,4425,14.7,72992,2.58,4.84,80.1,1.1,2.9,2,0.2,7.8,5.9,19.5,80.5
6067008128,2211,20.3,64792,2.53,0,76.3,0.2,1.5,4.3,0,5.3,12.3,21.1,78.9
6067008129,2796,18.2,65319,2.38,7.57,70.1,10.4,0.4,2,0.6,7.8,8.6,19,81
6067008130,3952,19.6,70438,2.75,6.19,67.2,6,0,8.8,0,4.6,13.4,21.1,78.9
6067008131,4996,19,59219,2.1,7.85,79.8,7.5,0,3.3,0,2,7.4,19.2,80.8
6067008132,4188,25.6,70333,2.73,0.72,76.6,2.2,1.3,16.1,0.1,0.3,3.4,11.3,88.7
6067008133,2426,12.4,44207,1.97,5.04,73.7,7.2,0.8,7.8,0,5.3,5.2,13.5,86.5
6067008134,5489,13.8,80556,2.63,4.07,81.9,3.1,0.1,7,0.1,3.3,4.5,14.9,85.1
6067008135,4886,23.6,52203,2.08,9.9,69.7,1.4,0,6.8,0,9.1,13,11.3,88.7
6067008136,2881,15.2,67083,2.27,5.05,84.4,2.5,0,6.1,0.7,1.6,4.8,12.8,87.2
6067008137,2309,17.6,70250,2.38,5.97,83.4,6.4,0,2.6,0,0.4,7.3,4,96
6067008138,5053,15.2,83054,3.28,7.34,62.7,6.4,0,5.7,0,4,21.2,39,61
6067008139,3498,14.9,54659,1.99,5.69,75,2.8,0.3,4.3,0,5,12.5,13.7,86.3
6067008140,2545,23,79107,2.37,4.01,83.1,3.2,1.1,2.4,0,0.5,9.8,11.9,88.1
6067008141,7126,9,54560,2.57,5.19,70.2,6.3,1.1,3.3,0,9.7,9.5,27.2,72.8
6067008142,3407,7.9,64505,2.43,2.42,76.5,4.3,2.2,4.2,1.3,4.8,6.6,18.6,81.4
6067008143,3900,17.3,63132,2.31,7.34,86.2,3.8,0.9,1.1,0.1,1.4,6.6,17.1,82.9
6067008144,3212,14.7,90000,2.83,3.09,79.5,0.5,0.2,4.3,0,3.1,12.4,14,86
6067008145,7471,19.4,87241,2.75,2.32,81.4,1.5,0.5,3.2,0.1,4.2,9.2,13.9,86.1
6067008203,5133,29.4,76184,2.4,2.81,81.2,2.5,0.1,1,1.9,2.7,10.7,13.7,86.3
6067008204,4652,20.6,103523,2.63,6.39,81,0.6,0.3,1.4,0,3.3,13.4,21.8,78.2
6067008206,6477,18.1,76838,2.58,3.42,83.7,1.5,1.2,3.5,0,0.2,9.9,11,89
6067008207,4416,14.4,92124,2.25,7.44,89.2,0.6,0.4,1.4,0,0.4,8,5.9,94.1
6067008208,4345,15.5,71131,2.31,2.34,75.2,0.8,0.6,5.4,0.1,1.8,16.1,16.4,83.6
6067008209,4519,21.3,97000,2.45,2.16,74.9,3.5,0,7.2,0,1.3,13.2,14.3,85.7
6067008210,5742,28,112266,2.08,6.5,81.8,0,0,7.8,0,0.6,9.8,18.6,81.4
6067008211,2757,23.1,105668,2.4,9.38,85.1,2.4,6.4,0.4,0,0.8,4.9,5.5,94.5
6067008402,5850,13.9,125396,2.9,0,77.7,0.9,1,3.9,0,12.3,4.2,22.7,77.3
6067008403,5569,14.3,76522,2.44,2.58,69.3,1.7,0,18.6,0,0.5,10,14.2,85.8
6067008404,4222,15.2,73066,2.44,3.07,73.2,0.1,0,4.6,0,6.6,15.3,18.4,81.6
6067008501,7257,14,150466,2.95,2.07,63.4,6.8,0,21,0,2.7,6.1,15.1,84.9
6067008504,5039,9.5,126676,2.47,5.97,72.7,3.1,0,14.1,0,0.5,9.6,15.8,84.2
6067008505,1990,15.5,152337,2.82,0,75.2,0,0,15.1,0.3,4.4,5.1,10.2,89.8
6067008506,2766,16.7,78443,1.78,6.5,54,3.2,0,33.2,0,4.5,5.1,14.5,85.5
6067008507,3793,9,122064,2.46,5.58,53.8,4.2,0.2,23.1,0.5,0.9,17.3,15.1,84.9
6067008508,8849,8.1,150188,2.9,0,54,0.4,0.1,37.9,1.1,1.8,4.6,7.4,92.6
6067008509,4743,10.2,177527,3.21,0,66.1,0.6,0,20.4,1.2,1.7,10.1,12.5,87.5
6067008510,4875,11.5,171047,2.89,5.75,75.4,0.8,0,11.4,0,2.1,10.4,16.4,83.6
6067008512,4775,7.8,177921,2.99,2.07,63.4,2.1,0,29.7,0,0.7,4.1,5,95
6067008513,3826,6.9,139728,2.78,5.45,48.4,0.7,0,32.9,0,0.3,17.8,17.2,82.8
6067008601,5581,27.2,135725,2.49,1.96,81.7,4.7,0.4,3.7,0,1,8.5,16.7,83.3
6067008602,1741,31.2,76071,2.37,4.63,58.7,1.6,3.9,15.3,0,13.3,7.2,20.1,79.9
6067008702,3412,41.1,166292,2.28,2.14,77,0,0,14.5,0,0.2,8.3,6.8,93.2
6067008703,4654,24,116912,2.04,9.91,66.4,1.8,0,25.8,0,1,4.9,2.9,97.1
6067008704,3405,8.8,134630,3.76,1.88,40.4,16.8,1.3,31.3,0.3,0.9,9,13.2,86.8
6067008706,1223,12.7,205750,3.47,13.07,29.9,20.4,0,18,0,5.4,26.3,28.5,71.5
6067008707,6277,12.7,160486,3.41,2.06,54.2,6.7,0,28.3,0,3.3,7.5,15.6,84.4
6067008708,2916,9.1,127875,3.06,0,57.9,3.5,0.4,29.5,0,1.2,7.4,9.7,90.3
6067008802,2976,11.8,127411,3.43,0,61,6.6,0.5,13.5,0,2.8,15.6,11.2,88.8
6067008803,1830,3.4,83605,2.5,7.5,59.3,10.3,0,13.1,0.6,9.2,7.5,16.9,83.1
6067008905,5087,14.5,83721,3.04,3.4,60.1,8.5,4.4,6.5,0,10.2,10.2,29.3,70.7
6067008907,6258,11.7,66071,3.1,1.74,71.5,5.6,0.4,7.9,1.5,5.9,7.1,16.7,83.3
6067008908,5067,14.9,62866,2.41,6.08,65.4,9.5,0.4,5.2,0.7,11.7,7.1,26.9,73.1
6067008909,2391,22.8,73711,2.58,6.04,46.3,14.2,0,25,0,4.2,10.3,13.6,86.4
6067008910,3510,10.8,72036,2.65,2.56,66.7,1.5,0.7,4.6,0,15.6,10.9,25.5,74.5
6067008911,2834,5.9,48077,3.25,0,44.8,15.1,2.8,10.9,0,6.8,19.7,35.3,64.7
6067008912,3282,14.9,94968,2.48,6.28,71.1,4.1,0.3,10.9,2,5.6,6.1,15.9,84.1
6067008913,4430,15.1,60318,2.65,3.11,77.2,5,0,7.2,0,8.9,1.6,14.9,85.1
6067009004,3700,13.1,79769,2.7,11.61,56.8,7.5,0,13.4,0.4,11.4,10.5,21.6,78.4
6067009005,3383,10.6,55833,2.63,6.61,46.9,11.2,0.2,9.3,3.4,16.1,12.9,24.2,75.8
6067009006,5305,11.9,57333,2.8,4.22,48,22.1,1.1,6.8,1.5,12.5,7.7,23.7,76.3
6067009007,2296,9.4,42879,2.18,7.79,34.6,19.8,0,4.5,6.6,16.2,18.4,34.3,65.7
6067009008,5642,9.5,66022,3.01,1.17,49.9,10.9,4.6,13.5,0,14.7,6.4,33.4,66.6
6067009010,6701,7.7,81970,2.5,2.35,44.1,24.6,0.6,14,0.2,3.1,13.4,12.9,87.1
6067009011,5228,12.7,113862,2.84,4.99,48.8,6.3,0.5,26.1,0,4.3,14.1,11.9,88.1
6067009103,3317,12,88173,2.49,5.1,61.6,16.4,1.7,14.3,0,1,5,18.8,81.2
6067009105,2589,10.6,61667,2.27,10.35,46.6,6.9,0.2,17.8,0.8,8.6,19.1,30.1,69.9
6067009106,4336,12.9,79572,2.22,1.89,65.2,11.8,0,11.3,1.3,2.4,8,15,85
6067009107,4185,12.5,78696,2.91,1.81,68.9,11.5,1.6,4.9,0,7.4,5.8,23.6,76.4
6067009108,3971,18.4,90455,2.65,0,60.5,5.9,1.2,12.6,0,5,14.8,15.7,84.3
6067009109,5099,15.1,99795,2.88,1.98,54.8,9.4,0.6,7.1,0,9.9,18.2,16.8,83.2
6067009110,1992,4.7,41630,2.52,2.15,38.7,29.2,0,3.9,0,15.5,12.8,33.9,66.1
6067009111,5955,11.6,68019,2.47,6.1,40.6,14.3,0.4,18.1,0,15.7,10.9,24.2,75.8
6067009112,4009,12.8,72440,2.79,3.76,46.4,11.7,1.6,15.9,1.3,11.4,11.6,29,71
6067009201,6098,15.3,91341,2.98,0.93,38.4,6.1,0,38.4,0.9,8.3,7.9,23.5,76.5
6067009307,5653,15,102174,3.05,3.13,63.8,8.2,0.1,13,0.2,4.6,10,13.7,86.3
6067009308,7002,13.8,92500,2.76,2.96,66.7,3.1,3.5,10.7,0,5.4,10.7,23.3,76.7
6067009309,2300,25.5,85852,2.67,0,66.6,3.8,2.8,11.8,0,5.7,9.3,18.7,81.3
6067009310,6831,11.2,67289,2.85,4.01,58,6.3,0.3,16.6,0,13,5.8,22.6,77.4
6067009311,6716,12.9,80597,3.31,1.28,37.2,9.3,0,36.2,2.5,5.9,8.9,18.3,81.7
6067009312,7171,9.6,89207,3.47,0,33.7,5.8,0,48.1,1.3,3.4,7.8,21.3,78.7
6067009314,6904,9.7,91989,3.81,1.44,32,12.8,0.9,34.9,2.7,0.9,15.8,16.2,83.8
6067009316,5050,14.8,83688,3.88,4.91,19.2,8.7,0,43.3,3.6,11.6,13.7,19.5,80.5
6067009317,6167,12.2,95184,2.92,4.49,37.5,13.8,0.8,25.8,0.8,6.3,15.1,28.7,71.3
6067009318,1995,14,57375,3.16,0,20.4,9.4,3.6,45.6,2.3,7,11.8,19.6,80.4
6067009319,4324,9.7,69722,3.16,1.83,26.6,4.1,0.4,49.3,1,7.2,11.3,15.5,84.5
6067009320,4614,14,61891,3.13,4.07,19.6,16.8,0,39.4,0.3,10.1,13.7,28,72
6067009321,5998,11.4,83864,3.54,0.89,37.8,6.4,0.1,35,3.5,3.5,13.7,28.2,71.8
6067009323,5940,14.7,116458,3.37,0,53.6,12.8,0.7,21.9,0.9,3.2,7,10.1,89.9
6067009326,4496,17,156154,3.48,0,41.6,9,0.7,34.8,1,2.8,10,17.4,82.6
6067009328,5650,9.2,138068,3.63,1.8,41.3,12.1,0,28.9,3.5,4.8,9.5,15.2,84.8
6067009329,2413,6,75000,3.24,0.94,28.5,13.3,0.5,40.4,0,6.5,10.9,16.9,83.1
6067009330,4923,9.2,133042,3.46,1.05,39.6,4.1,0.8,32.9,0.6,7.6,14.4,17,83
